rank,feature,importance
1,stock_id,35408.2
2,rv1_bin_slope_by_time_mean,2996.8
3,imbalance_std_full_by_time_mean,2959.2
4,trade_order_count_mean_full_by_time_mean,2773.6
5,imbalance_mean_full_by_time_std,2720.8
6,imbalance_mean_full_by_time_mean,2689.2
7,imbalance_std_full_by_time_std,2651.8
8,n_updates_full_by_time_std,2634.8
9,rskew1_full,2407.0
10,rkurt1_full,2385.4
11,trade_price_mean_full_by_time_mean,2355.2
12,rv1_bin_5,2333.8
13,rskew2_full,2329.8
14,trade_rskew_full_by_time_mean,2289.2
15,rskew1_full_by_time_mean,2216.6
16,total_volume_std_full_by_time_mean,2175.6
17,rskew2_full_by_time_mean,2149.4
18,trade_order_count_mean_full_by_time_std,2101.6
19,total_volume_std_full_by_time_std,2073.4
20,trade_order_count_max_full_by_time_std,2065.6
